,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.7096,Tue Oct 30 19:54:03 +0000 2018,0.0,0.718,0.282,BBC,💖 Japan’s Princess Ayako has surrendered her royal title to marry the man she loves.  https://t.co/sk8Ngj8Hdb,1
1,0.0258,Tue Oct 30 19:06:04 +0000 2018,0.101,0.741,0.159,BBC,"Sid is one of the growing number of women who are performing in drag.
(via @BBCThree) https://t.co/YWwiNNn603",2
2,0.0,Tue Oct 30 18:09:02 +0000 2018,0.0,1.0,0.0,BBC,"🦌 Not everyone is slowing down as the days get shorter and the cold sets in. 

Meet Britain’s busiest autumn animal… https://t.co/MCljdtQxWu",3
3,0.0,Tue Oct 30 17:02:06 +0000 2018,0.0,1.0,0.0,BBC,"I'm old at heart 🤷‍♀️
https://t.co/D5USf6s83x",4
4,0.0772,Tue Oct 30 16:25:13 +0000 2018,0.0,0.949,0.051,BBC,"RT @BBCCiN: Last night on the @BBCTheOneShow we met Kayla. She'll be taking on the Rickshaw Challenge with Kieran, Maisie and the rest of t…",5
5,0.0,Tue Oct 30 14:08:02 +0000 2018,0.0,1.0,0.0,BBC,We live in a society where we are constantly told that we are exceptional and unique... but it turns out that somet… https://t.co/JrKmfOxgvj,6
6,0.886,Tue Oct 30 13:03:03 +0000 2018,0.0,0.551,0.449,BBC,"You haVe to be Very, Very, Very cleVer to solVe this... 😄 
#OnlyConnect https://t.co/uhWkzybWWf",7
7,0.743,Tue Oct 30 12:01:05 +0000 2018,0.065,0.687,0.247,BBC,"😂 @RitaOra as @PostMalone is 🙌

The celebrity costumes winning this #Halloween.
👉 https://t.co/RTpGmYoHQw https://t.co/tXzNDYKYf1",8
8,0.0,Tue Oct 30 11:09:15 +0000 2018,0.0,1.0,0.0,BBC,"Venice under water as Italy hit by fierce wind and heavy rain.
👉 https://t.co/VRJ1oBJgoz https://t.co/vifdoS0Q5W",9
9,-0.4767,Tue Oct 30 10:20:56 +0000 2018,0.245,0.659,0.095,BBC,"RT @BBCTwo: Could Grenfell have been avoided? Watch the dramatic, haunting story of five fires and clear warnings that foretold the disaste…",10
10,-0.4588,Tue Oct 30 09:01:05 +0000 2018,0.444,0.556,0.0,BBC,The Mediterranean has a serious plastic problem. https://t.co/0yQxNvQoNv,11
11,-0.5719,Tue Oct 30 08:07:02 +0000 2018,0.222,0.778,0.0,BBC,"How to cope when your partner has depression.
👉 https://t.co/XXstUicKsb https://t.co/wCm1bOmVcy",12
12,0.0,Tue Oct 30 07:20:05 +0000 2018,0.0,1.0,0.0,BBC,🐶❤️ These dogs are changing the lives of army veterans.  https://t.co/Ow8HeMHyKn,13
13,0.0,Mon Oct 29 20:11:03 +0000 2018,0.0,1.0,0.0,BBC,"British Summer Time is over. Do the Tundra. 
(via @BBCThree) https://t.co/5RRBpwUpjM",14
14,0.474,Mon Oct 29 19:08:06 +0000 2018,0.0,0.618,0.382,BBC,"Dumbledore? More like “Dumble-DAMN!” 
#TheGNShow https://t.co/ECOcBcCRF4",15
15,-0.3612,Mon Oct 29 18:12:07 +0000 2018,0.205,0.655,0.14,BBC,"🤷‍♀️😼 Ever wondered if your teeny tiny adorable cat is actually trying to kill you? 
#NationalCatDay https://t.co/FyonKEdYPp",16
16,-0.3595,Mon Oct 29 17:18:45 +0000 2018,0.161,0.839,0.0,BBC,"RT @BBCTwo: Because it's #NationalCatDay, here's the story of @JoeLycett's missing cat! 😹😹 https://t.co/PnWfcWy1oU",17
17,0.6808,Mon Oct 29 17:05:04 +0000 2018,0.0,0.663,0.337,BBC,❤️🎂 These children surprised their janitor by signing the Happy Birthday song. https://t.co/bxMNfoeusN,18
18,0.8883,Mon Oct 29 17:04:00 +0000 2018,0.0,0.657,0.343,BBC,"RT @BBCCiN: Just when Josh needs a boost, @EdSheeran pops up with a welcome message. 

Josh: ""That's Ed...what's he doin' on there?!"" 😄

@B…",19
19,0.8388,Mon Oct 29 15:59:27 +0000 2018,0.0,0.765,0.235,BBC,"RT @BBCCiN: There's SO many good reasons to get out and ramble. And SOO many lovely ramble hats out there too! 🤩

You can still set up your…",20
20,0.4215,Mon Oct 29 15:13:03 +0000 2018,0.0,0.823,0.177,BBC,"🐾😺 Science has confirmed: cats are nice. #NationalCatDay
👉 https://t.co/nTtAUxYl6v https://t.co/XfDmYHaGKD",21
21,0.25,Mon Oct 29 14:03:03 +0000 2018,0.091,0.769,0.139,BBC,"Forget the six-pack, invest in a baby carrier instead...

Thanks to Daniel Craig, #BabyWearingDad is now the hottes… https://t.co/EAQX5Kff5F",22
22,0.5093,Mon Oct 29 12:52:05 +0000 2018,0.0,0.829,0.171,BBC,"😻 Rusty spotted cats are the world's smallest (and cutest?!) cats. 
#NationalCatDay  https://t.co/PgIC5WfdaJ",23
23,-0.4588,Mon Oct 29 12:46:33 +0000 2018,0.136,0.864,0.0,BBC,"RT @BBCSport: Heartbreaking pictures.

Vichai Srivaddhanaprabha's son Aiyawatt and wife Aimon have been to lay flowers at King Power Stadiu…",24
24,0.6124,Mon Oct 29 12:43:58 +0000 2018,0.0,0.846,0.154,BBC,RT @BBCBodyPositive: You’re gorgeous just the way you are...we’re willing to bet we aren’t the only ones who think so 😍. #WhatISee https://…,25
25,0.5719,Mon Oct 29 11:55:09 +0000 2018,0.0,0.861,0.139,BBC,🌸💀 A parade was held in Mexico City on Saturday evening to honour the start of the annual Día de Muertos (Day of th… https://t.co/xgsXWSf5dE,26
26,-0.5574,Mon Oct 29 09:02:05 +0000 2018,0.194,0.806,0.0,BBC,"🇫🇷 France is the first country to ban supermarkets from throwing away food.
(via @BBCThree) https://t.co/Gw4VSHGA32",27
27,0.5267,Mon Oct 29 08:13:06 +0000 2018,0.107,0.641,0.252,BBC,"Being bad-tempered and pessimistic could help you to earn more, live longer and enjoy a healthier marriage. 

It’s… https://t.co/m86hDJ1Ghz",28
28,0.0,Mon Oct 29 07:25:00 +0000 2018,0.0,1.0,0.0,BBC,"When all the stars align...
#Impossible https://t.co/RgFGHUG13o",29
29,-0.5574,Sun Oct 28 20:53:06 +0000 2018,0.213,0.787,0.0,BBC,"When Arthur Flitwick finds a mobile phone in a graveyard, he makes the mistake of trying to contact the owner.… https://t.co/QjE2p89yFc",30
30,0.049,Sun Oct 28 20:02:03 +0000 2018,0.185,0.613,0.202,BBC,"Don't like plastic straws? 

👍🍝 Here's a genius solution. https://t.co/79fOaOmak3",31
31,-0.7177,Sun Oct 28 19:03:02 +0000 2018,0.263,0.737,0.0,BBC,"😱😱😱 If you kill a wasp, MORE will come back to take its place! 
#QI https://t.co/eWreMnPPwF",32
32,0.0,Sun Oct 28 17:55:07 +0000 2018,0.0,1.0,0.0,BBC,"Why did J-Hope choose this stage name? When are their birthdays?  Who bites their nails?

How much do you know abou… https://t.co/Hqe7h1ueFM",33
33,0.0,Sun Oct 28 17:12:03 +0000 2018,0.0,1.0,0.0,BBC,"Start them young! 
🐶😍 Two-year-old Freddie is already training the dogs.  https://t.co/7LsBHnck3K",34
34,0.3612,Sun Oct 28 16:05:06 +0000 2018,0.0,0.848,0.152,BBC,"Chimpanzees show empathy and altruism just like humans do. 

Could we learn from them? 
 https://t.co/fAcjiLmZKA",35
35,0.0,Sun Oct 28 15:11:06 +0000 2018,0.0,1.0,0.0,BBC,"🥛☕️🤔 When you make a cup of tea, does the milk go in first or last?

Here's what #QI had to say on the controversia… https://t.co/ygoaQNLPoW",36
36,0.0,Sun Oct 28 14:09:02 +0000 2018,0.0,1.0,0.0,BBC,"The #ChildrenInNeed Annual Duck Race Sweepstake is back! *cue the music*

📝 Get posters from the @BBCCiN site
🦆 Don… https://t.co/5iZ9toxjxK",37
37,-0.2732,Sun Oct 28 12:52:03 +0000 2018,0.137,0.773,0.09,BBC,The same virus that causes cold sores appears to create lasting damage in the brain - a discovery that could sugges… https://t.co/yU9R5x6N4j,38
38,-0.7717,Sun Oct 28 12:08:07 +0000 2018,0.358,0.642,0.0,BBC,".@ProfessorGreen meets young men whose illegal dogs are trained to attack. 
(via @BBCThree) https://t.co/yE4DyXi5zV",39
39,0.4588,Sun Oct 28 10:11:04 +0000 2018,0.0,0.75,0.25,BBC,"Honestly, I'll apply for any job at this point... https://t.co/HYxY3JL0Cf",40
40,0.0,Sun Oct 28 10:03:58 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCOne: We could have had an extra HOUR in bed! https://t.co/hh2M3Jof0w,41
41,0.5267,Sun Oct 28 09:08:06 +0000 2018,0.0,0.827,0.173,BBC,"💊 The vitamin industry is booming and we Brits have bought into it in a big way.

But can a vitamin pill a day real… https://t.co/OIIAc7zu2d",42
42,-0.1027,Sun Oct 28 08:49:16 +0000 2018,0.06,0.94,0.0,BBC,"RT @BBCTwo: It’s hard to believe how many dolphins and whales live in this small patch of water. 🐳🐬 

#Mediterranean with @Simon_Reeve | Su…",43
43,-0.296,Sun Oct 28 08:01:06 +0000 2018,0.268,0.732,0.0,BBC,📚 This library has no rules. https://t.co/TLWJHUF71j,44
44,0.25,Sat Oct 27 19:18:05 +0000 2018,0.0,0.913,0.087,BBC,"🎨🤖 An artwork created by an AI program has been sold at auction for $432,000 (£337,000). 
👉 https://t.co/Wdu4meSMIa https://t.co/ZtXs6GP15V",45
